Equipment_type/Model;Program;Product;Model;Standard;PN;SN;PNSOFT;Statut;CMS;Localisation;Date_crea;Date_Modif;Comments;Current_state;Previous_state;
AUDIO;SA/LR/A380;ACP;null;null;ACP2788AC01;12;null;OK;null;Banc CNS B14;null;;ACP non satcom;null;null;
AUDIO;SA/LR/A380;ACP;null;31929;ACP2788A - 1;12;null;OK;null;S62 Capt;null;;ACP non satcom;null;null;
AUDIO;SA/LR/A380;ACP;null;null;ACP2788AC01;13;null;OK;null;Banc CNS B14;null;;ACP non satcom;null;null;
AUDIO;SA/LR/A380;ACP;null;null;ACP2788A;117;null;OK;null;Install‚ CAPT simu SX1;null;;ACP;null;null;
AUDIO;SA/LR/A380;ACP;null;31929;ACP2788A - 1;117;null;OK;null;S32 Capt;null;;ACP non satcom;null;null;
AUDIO;SA/LR/A380;ACP;null;null;ACP2788AC01;123;null;OK;null;Banc CNS B14;null;;ACP non satcom;null;null;
AUDIO;SA/LR/A380;ACP;null;HW:00 / SW: 00 / Amdt ABCDEFGHJ;ACP2788AF01;2788-15496;null;OK;null;Banc CNS B14;null;;ACP Satcom;null;null;
AUDIO;SA/LR/A380;ACP;null;HW:00 / SW: 00 / Amdt ABCDEFGHJ;ACP2788AF01;2788-15497;null;OK;null;Banc CNS B14;null;;ACP Satcom;null;null;
AUDIO;SA/LR/A380;ACP;null;HW:00 / SW: 00 / Amdt ABCDEFGHJ;ACP2788AF01;2788-15498;null;OK;null;Banc CNS B14;null;;ACP Satcom;null;null;
AUDIO;SA/LR/A380;ACP;null;HW:00 / SW: 00 / Amdt ABCDEFGHJ;ACP2788AF01;2788-15499;null;OK;null;Banc CNS B14;null;;ACP Satcom;null;null;
AUDIO;SA/LR/A380;ACP;null;HW:00 / SW: 00 / Amdt ABCDEFGHJ;ACP2788AF01;2788-15500;null;OK;null;Banc CNS B14;null;;ACP Satcom;null;null;
AUDIO;SA/LR/A380;ACP;null;HW:00 / SW: 00 / Amdt ABCD ;ACP2788AB05;2788-15540;null;OK;null;Banc CNS B14;null;;ACP non satcom;null;null;
AUDIO;SA/LR/A380;ACP;null;HW:00 / SW: 00 / Amdt ABCD ;ACP2788AB05;2788-15541;null;OK;null;Banc CNS B14;null;;ACP non satcom;null;null;
AUDIO;SA/LR/A380;ACP;null;HW:00 / SW: 00 / Amdt ABCD ;ACP2788AB05;2788-15746;null;OK;null;Banc CNS B14;null;;ACP non satcom;null;null;
AUDIO;SA/LR/A380;ACP;null;HW:00 / SW: 00 / Amdt ABCD ;ACP2788AB05;2788-15748;null;OK;null;Banc CNS B14;null;;ACP non satcom;null;null;
AUDIO;SA/LR/A380;ACP;null;HW:00 / SW: 00 / Amdt ABCD ;ACP2788AB05;2788-17741;null;OK;null;Banc CNS B14;null;;ACP non satcom;null;null;
AUDIO;SA/LR/A380;ACP;null;null;ACP2788AF01;2788-184;null;OK;null;EPOPE LR -- > A400M;null;;ACP Satcom;null;null;
AUDIO;SA/LR/A380;ACP;null;null;ACP2788AF01;2788-185;null;OK;null;EPOPE LR -- > A400M;null;;ACP Satcom;null;null;
AUDIO;SA/LR/A380;ACP;null;HW:00 / SW: 00 / Amdt ABCDEF;ACP2788AF01;2788-9360;null;OK;null;Banc CNS/ DD M2406;null;;ACP Satcom;null;null;
AUDIO;SA/LR/A380;ACP;null;HW:00 / SW: 00 / Amdt ABCDEF;ACP2788AF01;2788-9361;null;OK;null;Banc CNS/ DD M2406;null;;ACP Satcom;null;null;
AUDIO;SA/LR/A380;ACP;null;HW:00 / SW: 00 / Amdt ABCDEF;ACP2788AF01;2788-9362;null;OK;null;Banc CNS/ DD M2406;null;;ACP Satcom;null;null;
AUDIO;SA/LR/A380;ACP;null;ACP3000;ACP2788AD010203;4206-0008;null;OK;null;Banc CNS B14;null;;ACP non satcom;null;null;
AUDIO;SA/LR/A380;ACP;null;ACP3000;ACP2788AD010203;4206-0009;null;OK;null;Banc CNS B14;null;;ACP non satcom;null;null;
AUDIO;SA/LR/A380;ACP;null;ACP3000;ACP2788AD010203;4206-0010;null;OK;null;Banc CNS B14;null;;ACP non satcom;null;null;
AUDIO;SA/LR/A380;ACP;null;ACP3000;ACP2788AD010203;4206-0011;null;OK;null;Banc CNS B14;null;;ACP non satcom;null;null;
AUDIO;SA/LR/A380;ACP;null;ACP3000;ACP2788AD010202;4206-0012;null;OK;null;Banc CNS B14;null;;ACP non satcom;null;null;
AUDIO;SA/LR/A380;ACP;null;ACP3000;ACP2788AD010203;4206-0013;null;OK;null;Banc CNS B14;null;;ACP non satcom;null;null;
AUDIO;SA/LR/A380;ACP;null;ACP3000;ACP2788AE010203;4207-0008;null;OK;null;Banc CNS B14;null;;ACP Satcom;null;null;
AUDIO;SA/LR/A380;ACP;null;ACP3000;ACP2788AE010203;4207-0009;null;OK;null;Banc CNS/ DD M2406;null;;ACP Satcom;null;null;
AUDIO;SA/LR/A380;ACP;null;ACP3000;ACP2788AE010203;4207-0010;null;OK;null;M24;null;;ACP Satcom;null;null;
AUDIO;SA/LR/A380;ACP;null;ACP3000;ACP2788AE010203;4207-0011;null;OK;null;M24;null;;ACP Satcom;null;null;
AUDIO;SA/LR/A380;ACP;null;ACP3000;ACP2788AE010203;4207-0012;null;OK;null;ACP1-Banc CNS B14;null;;ACP Satcom;null;null;
AUDIO;SA/LR/A380;ACP;null;ACP3000;ACP2788AE010203;4207-0013;null;OK;null;ACP4-Banc CNS B14;null;;ACP Satcom;null;null;
AUDIO;SA/LR/A380;ACP;null;ACP3000;ACP2788AE010202;4207-0014;null;OK;null;M24;null;;ACP Satcom;null;null;
AUDIO;SA/LR/A380;ACP;null;null;ACP2788A;X01;null;OK;null;Install‚ F/O simu SX1;null;;ACP;null;null;
AUDIO;SA/LR/A380;ACP;null;null;ACP2788A;X01;null;OK;null;Install‚ F/O simu SX1;null;;ACP;null;null;
AUDIO;SA/LR/A380;ACP;null;31625;ACP2788AC01;X01;null;OK;null;S32 F/O;null;;ACP non satcom;null;null;
AUDIO;SA/LR/A380;ACP;null;02/96 Amdt B;ACP2788PF01;X01;null;OK;null;S62 F/O;null;;ACP Satcom;null;null;
AUDIO;SA/LR/A380;ACP;null;null;ACP2788PF01;X02;null;OK;null;Banc CNS B14;null;;ACP Satcom;null;null;
AUDIO;SA/LR/A380;ACP;null;02/96 Amdt B;ACP2788PF01;X02;null;OK;null;S61 F/O;null;;ACP Satcom;null;null;
AUDIO;SA/LR/A380;ACP;null;null;ACP2788PF01;X03;null;OK;null;Banc CNS B14;null;;ACP Satcom;null;null;
AUDIO;SA/LR/A380;ACP;null;02/96 Amdt B;ACP2788PF01;X03;null;OK;null;S22 F/O;null;;ACP Satcom;null;null;
AUDIO;SA/LR/A380;ACP;null;null;ACP2788PF01;X04;null;OK;null;Banc CNS B14;null;;ACP Satcom;null;null;
